week_end,qqq_close,qqq_weekly_return_pct
2025-09-26,595.203125,
2025-10-03,602.4038696289062,1.209796173181421
2025-10-10,588.741455078125,-2.2679825345739535
2025-10-17,603.1528930664062,2.4478381578156183
2025-10-24,616.305908203125,2.180709947331816
2025-10-31,628.2605590820312,1.9397268012180335
2025-11-07,608.9553833007812,-3.072797663672744
2025-11-14,608.0765380859375,-0.1443201323026444
2025-11-21,589.3107299804688,-3.08609310343374
2025-11-28,618.4531860351562,4.945176554931097
2025-12-05,624.6751708984375,1.0060559155931958
2025-12-12,612.8304443359375,-1.8961417252208568
2025-12-19,616.2559814453125,0.5589698000540544
2025-12-26,623.8900146484375,1.238776325581581
2026-01-02,613.1199951171875,-1.7262689381747687
2026-01-09,626.6500244140625,2.2067506205353693
2026-01-16,621.260009765625,-0.8601315628252504
2026-01-23,622.719970703125,0.23499998624580964
2026-01-30,621.8699951171875,-0.13649403037094832
2026-02-06,609.6500244140625,-1.9650362292881196
2026-02-13,601.9199829101562,-1.2679473787170936
2026-02-20,608.8099975585938,1.144672854209916
2026-02-27,607.2899780273438,-0.24967059301678196
2026-03-06,599.75,-1.2415778787978393
2026-03-13,593.719970703125,-1.0054238093997525
2026-03-20,582.0599975585938,-1.9638842753971542
