date,foreign_net,trust_net,dealer_net,total_institutional_net
2026-01-23,232.08504577,-8.3759119,46.87425919,270.58339306
2026-01-26,-14.9277468,-41.26731033,-33.21537471,-89.41043184
2026-01-27,222.78875956,-50.18348773,53.15618657,225.7614584
2026-01-28,332.75865867,-13.87712336,-18.46811846,300.41341685
2026-01-29,146.59217084,-29.59104359,-134.16003792,-17.15891067
2026-01-30,-512.39194984,-33.02144713,-93.9286241,-639.34202107
2026-02-02,-480.50347608,49.53294385,-104.97749268,-535.94802491
2026-02-03,72.67812207,106.17248361,-68.91888982,109.93171586
2026-02-04,120.66044162,58.20723412,-16.69592243,162.17175331
2026-02-05,-726.94499199,31.59777411,-208.7691164,-904.11633428
2026-02-06,-71.5299463,67.63863326,-188.86144763,-192.75276067
2026-02-09,247.68616529,8.95780272,106.77765292,363.42162093
2026-02-10,557.10830864,46.6563035,28.2765648,632.04117694
2026-02-11,523.60064736,40.93084962,13.7273021,578.25879908
2026-02-23,83.52180152,-19.97231922,-114.72072497,-51.17124267
2026-02-24,627.33556548,61.59076294,153.48667147,842.41299989
2026-02-25,411.48172059,51.2018429,-38.30386664,424.37969685
2026-02-26,-105.63922762,-10.58302674,-17.98563098,-134.20788534
2026-03-02,-389.88677076,83.21507628,-125.47078537,-432.14247985
2026-03-03,-947.08130956,39.22050289,-247.16371584,-1155.02452251
2026-03-04,-966.15044471,67.64037949,-400.02593641,-1298.53600163
2026-03-05,-514.95123598,144.67455481,-87.74506022,-458.02174139
2026-03-06,-352.36485371,71.23296274,-7.4812046,-288.61309557
2026-03-09,-1208.17164664,135.71184696,-586.38707129,-1658.84687097
2026-03-10,-250.85977065,130.59184019,-34.66374656,-154.93167702
2026-03-11,371.80947646,40.54142287,107.7436576,520.09455693
2026-03-12,-711.27587063,-7.51989349,-91.9702706,-810.76603472
2026-03-13,-580.17304543,-0.43705864,-92.81221622,-673.42232029
2026-03-16,-438.25438238,3.24836504,-34.29648744,-469.30250478
2026-03-17,4.72382101,2.05793712,90.9527396,97.73449773
2026-03-18,90.20754435,-2.88069117,99.63133604,186.95818922
2026-03-19,-909.47630537,-3.4613836,-111.33581065,-1024.27349962
2026-03-20,-403.11039107,10.57706848,-101.04918151,-493.5825041
